campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2019-2020,01,26761.129999999997,18954.48,779.4200000000001,7027.23,9772.249999999998,4050.22,12938.66,130.0,36041.45999999999,36432.80999999999,24829.839999999997,1172.3200000000002,10039.3,14049.759999999998,732.9736,37652.0,,,,,8.528990757463083,0.7107492297885902,49.17156634290784,38.98221659166971,36.51658207258064
2020-2021,01,29875.67999999999,21557.289999999997,876.28,7442.110000000001,11132.71,4907.71,13835.26,126.0,38904.630000000005,39520.8,27051.43,1333.24,10519.96,15729.62,727.9386000000001,31442.0,,26761.129999999997,35790.080000000016,-4348.080000000016,11.402205966541565,0.9501838305451303,53.44493340509763,40.43122887944185,37.26345308290892
2021-2022,01,20069.33,14795.89,676.82,4596.62,6264.46,3829.04,9975.83,128.0,18501.260000000002,18678.95,12134.68,904.64,5461.94,5497.0,716.7225999999999,35454.0,,29875.67999999999,28307.609999999986,7146.390000000014,6.79280081232019,0.5660667343600159,25.81369695890712,29.71148992014598,31.21409633505453
2022-2023,01,21584.370000000006,15818.37,1125.33,4640.67,6111.49,4461.47,11011.41,122.0,36838.07000000001,37142.950000000004,25085.410000000003,2147.04,9605.619999999999,13107.210000000003,730.7685999999997,34371.0,,20069.33,35323.03,-952.0299999999988,7.535784236711183,0.6279820197259319,50.410034038134675,35.5806099505213,28.314423816863766
2023-2024,01,21946.159999999996,15208.189999999999,1331.68,5406.289999999999,5553.28,4958.49,11434.39,112.0,34702.630000000005,34980.85999999999,23662.54,1456.25,9583.84,13805.340000000002,722.7399999999996,30781.0,,21584.370000000006,34340.84000000002,-3559.8400000000183,8.555729833338747,0.7129774861115622,48.015372056341185,39.781826334200034,25.30410787126313
2024-2025,01,18166.48,12293.3,1222.9299999999998,4650.25,3695.64,4418.5,10052.34,102.0,21626.109999999997,21773.65,15080.89,1168.3899999999999,5376.829999999998,8154.799999999999,720.4432000000002,41093.0,,21946.159999999996,25405.78999999999,15687.21000000001,5.3049852772978365,0.4420821064414864,30.017786273782573,37.70812226516928,20.34318150792008
2019-2020,02,239530.08000000013,239498.19000000012,0.0,31.89,13693.590000000006,509.99,225326.50000000012,301.0,156032.71,166844.69999999998,155564.46,0.0,468.25,59.32,2390.597,194774.0,,,,,14.757416082228643,1.2297846735190536,65.26934903708153,0.03801766950019647,5.716856104252125
2020-2021,02,230959.24000000002,229830.95,0.0,1128.29,12902.619999999999,523.32,217533.3,296.0,130582.56,148379.29,129641.33,0.0,941.2299999999999,55.9,2439.1491,118055.0,,239530.08000000013,139153.4000000001,-21098.40000000011,23.47643793147262,1.9563698276227184,53.5361122450448,0.042808166726092674,5.586535528953073
2021-2022,02,108630.76000000001,107293.84000000001,0.0,1336.92,8901.77,182.38,99546.61,273.0,94948.3,96877.79000000001,94611.14,0.0,337.15999999999997,86.0,2418.9388,134672.0,,230959.24000000002,217276.78000000003,-82604.78000000003,9.679585362955924,0.8066321135796602,39.25204722004542,0.09057560798876861,8.194520594350992
2022-2023,02,261146.49,259559.34,0.0,1587.15,11935.15,1577.11,247634.23,296.0,222392.4699999998,231737.9499999998,221438.16999999978,0.0,954.3,58.57,2423.8939999999993,160251.0,,108630.76000000001,69876.73999999982,90374.26000000018,19.55530935844394,1.6296091132036616,91.75008065534213,0.026336323347638548,4.570289265614867
